id,slug,name,is_active,module_exists,reason_code,reason_detail,recommended_action,source_type,integration_method,crawl_frequency,expected_event_count,health_tags,active_months,last_crawled_at,last_crawled_age_days,owner_portal_id,url
713,atlanta-supercross,Monster Energy AMA Supercross,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.supercrosslive.com
658,atlanta-tattoo-arts-festival,Atlanta Tattoo Arts Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,0,"['festival-structural', 'no-standalone-crawler']",,2026-02-16T05:23:26.223235+00:00,4,74c2f211-ee11-453d-8386-ac2861705695,https://villainarts.com/atlanta-tattoo-arts-convention/
662,atlanta-underground-film-fest,Atlanta Underground Film Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://auff.org
724,atlanta-united-season-opener,Atlanta United FC Season Opener,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.atlutd.com
575,atlanta-wine-week,Atlanta Food & Wine Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlfoodandwinefestival.com
617,beer-bourbon-bbq,"Beer, Bourbon & BBQ Festival",False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://atlanta.beerandbourbon.com
722,beltline-lantern-parade,Atlanta BeltLine Lantern Parade,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://beltline.org
726,bereggae-festival,BeREGGAE Music & Arts Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.midtownatl.com/do/bereggae-music-and-arts-festival
758,big-shanty-festival,Big Shanty Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.kennesaw.com/big-shanty-festival/
745,black-fashion-weekend,Black Fashion Weekend,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.blackfashionweekend.com
598,blade-show,Blade Show,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,0,"['festival-structural', 'no-standalone-crawler']",,2026-02-16T05:21:58.93648+00:00,,74c2f211-ee11-453d-8386-ac2861705695,https://bladeshow.com
622,blue-ridge-blues-bbq,Blue Ridge Blues & BBQ Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.blueridgemountains.com/events/
720,blue-ridge-trout-fest,Blue Ridge Trout & Outdoor Adventures Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://blueridgetroutfest.com
600,bluesberry-norcross,Bluesberry Beer & Music Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://bluesberrybeerfestival.com
637,braves-country-fest,Braves Country Fest,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.mlb.com/braves/fans/music-fest
710,braves-fest,Braves Fest,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,,daily,,[],,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.mlb.com/braves
608,brookhaven-cherry-blossom,Brookhaven Cherry Blossom Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.brookhavenga.gov/159/Cherry-Blossom-Festival
574,buried-alive-film-festival,Buried Alive Film Festival,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://buriedalivefilmfest.com
624,caffeine-and-octane-fest,Caffeine and Octane,False,False,festival_structure_managed_no_crawler_required,Festival entry is managed by festival hierarchy; no standalone crawler is required.,keep_inactive_structural,festival,festival_schedule,daily,,"['festival-structural', 'no-standalone-crawler']",,,,74c2f211-ee11-453d-8386-ac2861705695,https://www.caffeineandoctane.com/c-o-atlanta
